id;lat;long;fna;gna;nam;sag;cpd;cnr;cde;nde;nba;tes;cat;dom;tel;nrs;cp1;nor;mod;mai
1.00;-33.33044905;-60.214504611;Centro de Medicina Preventiva Dr. C. Ferreyra;Centro;de Medicina Preventiva Dr. C. Ferreyra;Dis. Ministerio de Salud BA;76300040;50067632201180;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Rivadavia N° 45;0336-5408830/36;IV;2900;Centro de Medicina Preventiva Dr. Carlos Ferreyra (C.E.M.PRE);Sin internación;
2.00;-33.33851551;-60.198463641;C.A.P.S. San Roque;C.A.P.S.;San Roque;Dis. Ministerio de Salud BA;76300236;50067632201609;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Cochabamba y Colón Bo. Cavalli;-;IV;2900;Centro Atención Primaria Socio Sanitaria San Roque;Sin internación;
3.00;-33.31569217;-60.243740167;Centro de Atención 24 horas E. Barbarito;Centro de Atención 24 horas;E. Barbarito;Dis. Ministerio de Salud BA;76300431;50067632201469;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Pastor Naranjo N° 898 Bo. 25 de Mayo;-;IV;2900;CENTRO DE ATENCIÓN 24 HS. ENF. BARBARITO;Sin internación;
5.00;-33.29880960;-60.263765676;C.A.P.S. H. R. Cardinale;C.A.P.S.;H. R. Cardinale;Dis. Ministerio de Salud BA;76300473;50067632201599;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Schubert N° 1783 Bo. Las Mellizas;-;IV;2900;Centro Atención Primaria Socio Sanitaria Raúl Cardinale;Sin internación;
6.00;-33.35592938;-60.206217674;Centro de Atención 24 horas H. Panzardi;Centro de Atención 24 horas;H. Panzardi;Dis. Ministerio de Salud BA;76300546;50067632201164;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Segundo García y Brown Bo. Del Carmen;;IV;2900;CENTRO DE ATENCIÓN 24 HS HUGO PANZARDI;Sin internación;
7.00;-33.35926871;-60.189458952;C.A.P.S. Los Provincianos;C.A.P.S.;Los Provincianos;Dis. Ministerio de Salud BA;76300627;50067632201109;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Ruta 188 y Rotonda Sur Bo. Provincianos;-;IV;2900;Centro Atención Primaria Socio Sanitaria Los Provincianos;Sin internación;
8.00;-33.36175323;-60.192923534;C.A.P.S. Dr. R. Lombardi;C.A.P.S.;Dr. R. Lombardi;Dis. Ministerio de Salud BA;76300252;50067632201596;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Benítez N° 604 Bo. Santa Rosa;-;IV;2900;Centro Atención Primaria Socio Sanitaria Dr. Raúl Lombardi;Sin internación;
9.00;-33.37444157;-60.191837520;C.A.P.S. 7 de Septiembre;C.A.P.S.;7 de Septiembre;Dis. Ministerio de Salud BA;76300619;50067632201459;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Montiel S/N Bo. 7 de Septiembre;-;IV;2900;Centro Atención Primaria Socio 7 de Septiembre;Sin internación;
10.00;-33.37794223;-60.198568408;C.A.P.S. O. Fussi;C.A.P.S.;O. Fussi;Dis. Ministerio de Salud BA;76300503;50067632201161;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;J. Howard y Furst Bo. Avanboé;-;IV;2900;Centro Atención Primaria Socio Sanitaria Oscar Fussi;Sin internación;
11.00;-33.38617041;-60.177517327;C.A.P.S. Gral. Savio;C.A.P.S.;Gral. Savio;Dis. Ministerio de Salud BA;76300520;50067632201108;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;29 Oeste N° 90 Bo. SOMISA;-;IV;2900;Centro Atención Primaria Socio Sanitaria Gral. Savio(SOMISA);Sin internación;
12.00;-33.35255656;-60.229904383;C.A.P.S. Luis Gallo;C.A.P.S.;Luis Gallo;Dis. Ministerio de Salud BA;76300406;50067632201601;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Tucumán y España Bo. Mitre;-;IV;2900;Centro Atención Primaria Socio Sanitaria Luis Gallo;Sin internación;
13.00;-33.35594954;-60.248171836;C.A.P.S. Farm. Biasoli;C.A.P.S.;Farm. Biasoli;Dis. Ministerio de Salud BA;76300414;50067632201223;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Del Forno N° 196 Bo. San Francisco;-;IV;2900;Centro Atención Primaria Socio Sanitaria Farm. Biasoli;Sin internación;
14.00;-33.34168968;-60.240516368;C.A.P.S. Virgen del Rosario;C.A.P.S.;Virgen del Rosario;Dis. Ministerio de Salud BA;76300538;50067632201383;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Corrientes N° 296 Bo. Oeste;-;IV;2900;Centro Atención Primaria Socio Sanitaria Virgen del Rosario;Sin internación;
30.00;-33.56904168;-59.976790072;Sala de Primeros Auxilios El Paraíso;Sala de Primeros Auxilios;El Paraíso;Dis. Ministerio de Salud BA;66500121;50066652201823;665;RAMALLO;EL PARAISO;Municipal;C.A.P.S;Dalmiro Rocco N° 565;-;IV;2916;Sala de Primeros Auxilios El Paraíso;Sin internación;
15.00;-33.35676604;-60.237199421;C.A.P.S. J. Rosello;C.A.P.S.;J. Rosello;Dis. Ministerio de Salud BA;76300571;50067632201400;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Ameghino y Guido Lavalle Bo. 12 de Marzo;-;IV;2900;Centro Atención Primaria Socio Sanitaria Josefa Rosello;Sin internación;
16.00;-33.37411636;-60.254640330;C.A.P.S. P. D. Wagner;C.A.P.S.;P. D. Wagner;Dis. Ministerio de Salud BA;76300279;50067632201605;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Ameghino y Rega Molina Colombini;-;IV;2900;Centro Atención Primaria Socio Sanitaria Pedro D. Wagner;Sin internación;
17.00;-33.35651072;-60.222173360;C.A.P.S. Ntra. Sra. de las Viñas;C.A.P.S.;Ntra. Sra. de las Viñas;Dis. Ministerio de Salud BA;76300244;50067632201607;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;San Lorenzo N° 1015 Bo. Las Viñas;-;IV;2900;Centro Atención Primaria Socio Sanitaria Nuestro Señor de las Viñas;Sin internación;
18.00;-33.33245701;-60.239868171;C.A.P.S. Asonia;C.A.P.S.;Asonia;Dis. Ministerio de Salud BA;76300457;50067632202077;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Rondeau y Eva Perón Bo. Asonia;-;IV;2900;Centro Atención Primaria Socio Sanitaria Asonia;Sin internación;
