fecha,tipo,lat,lon,precio,superficie_total,superficie_cubierta,ambientes,barrio
2017-11-01,departamento,-34.6291177,-58.4808354,275000.0,,,5.0,FLORESTA
2017-11-03,departamento,-34.6271197935,-58.4755947239,268000.0,134.0,122.0,4.0,FLORESTA
2017-11-03,departamento,-34.6304287,-58.4861934,88000.0,37.0,34.0,2.0,FLORESTA
2017-11-09,departamento,-34.628319,-58.479828000000005,134900.0,70.0,70.0,3.0,FLORESTA
2017-11-14,departamento,-34.620887100000004,-58.49128760000001,69000.0,,50.0,2.0,FLORESTA
2017-11-18,ph,-34.61935089999999,-58.4933836,135000.0,153.0,90.0,3.0,FLORESTA
2017-11-23,departamento,-34.629261,-58.483861600000004,147000.0,76.0,76.0,4.0,FLORESTA
2017-11-25,ph,-34.6324651458,-58.473214114300006,138000.0,100.0,80.0,,FLORESTA
2017-11-25,departamento,-34.632502341700004,-58.473152577200004,138000.0,100.0,80.0,,FLORESTA
2017-11-27,departamento,-34.627417,-58.477929,155000.0,83.0,76.0,4.0,FLORESTA
2017-11-29,casa,-34.634029,-58.476677,485000.0,401.0,341.0,7.0,FLORESTA
2017-12-05,departamento,-34.6282465,-58.48441089999999,215000.0,100.0,95.0,3.0,FLORESTA
2017-12-05,local,-34.633208,-58.480654,72000.0,38.0,38.0,,FLORESTA
2017-12-05,departamento,-34.6279771,-58.477111,129000.0,70.0,60.0,,FLORESTA
2017-12-05,departamento,-34.6384278,-58.4749047,89000.0,46.0,,2.0,FLORESTA
2017-12-05,departamento,-34.627185600000004,-58.481556999999995,110000.0,,60.0,3.0,FLORESTA
2017-12-05,departamento,-34.627185600000004,-58.481556999999995,110000.0,,60.0,3.0,FLORESTA
2017-12-05,casa,-34.632295899999995,-58.483692299999994,495000.0,276.0,244.0,5.0,FLORESTA
2017-12-05,departamento,-34.6321714,-58.479414500000004,125000.0,74.0,70.0,3.0,FLORESTA
2017-12-06,departamento,-34.6282465,-58.48441089999999,110000.0,68.0,61.0,3.0,FLORESTA
2017-12-06,local,-34.625094,-58.4862544,175000.0,147.0,147.0,,FLORESTA
2017-12-06,local,-34.627515700000004,-58.481378899999996,590000.0,,,,FLORESTA
2017-12-10,departamento,-34.635355,-58.474681000000004,84000.0,42.0,42.0,1.0,FLORESTA
2017-12-12,departamento,-34.631512,-58.475864,200000.0,128.0,125.0,5.0,FLORESTA
2017-12-13,departamento,-34.6313938,-58.4803748,68000.0,30.0,30.0,2.0,FLORESTA
2017-12-13,departamento,-34.6338381,-58.478767500000004,150000.0,73.0,57.0,,FLORESTA
2017-12-16,departamento,-34.6282465,-58.48441089999999,290000.0,133.0,125.0,6.0,FLORESTA
2017-12-21,casa,-34.6196441159,-58.4929686148,242000.0,200.0,124.0,3.0,FLORESTA
2017-12-22,departamento,-34.624195,-58.492954000000005,179000.0,86.0,81.0,3.0,FLORESTA
2017-12-26,ph,-34.6280973,-58.489576799999995,,,,,FLORESTA
2017-12-26,departamento,-34.6280973,-58.489576799999995,,,,,FLORESTA
2017-12-26,casa,-34.6280973,-58.489576799999995,,,,,FLORESTA
2018-01-03,ph,-34.63524279999999,-58.474375699999996,192000.0,124.0,100.0,4.0,FLORESTA
2018-01-08,departamento,-34.631643,-58.482177,149900.0,96.0,84.0,4.0,FLORESTA
2018-01-09,ph,-34.6281409,-58.482713399999994,175000.0,,,,FLORESTA
2018-01-09,departamento,-34.6308494,-58.4798784,198000.0,140.0,118.0,,FLORESTA
2018-01-09,departamento,-34.63056564,-58.47860718,120000.0,,70.0,2.0,FLORESTA
2018-01-09,departamento,-34.63128662,-58.48437119,130000.0,70.0,70.0,3.0,FLORESTA
2018-01-09,casa,-34.62018204,-58.49467087,120000.0,,50.0,2.0,FLORESTA
2018-01-09,casa,-34.62018204,-58.49467087,120000.0,,50.0,1.0,FLORESTA
2018-01-18,departamento,-34.634453,-58.472301,,,55.0,3.0,FLORESTA
2018-01-18,local,-34.634239,-58.473620999999994,43000.0,,23.0,,FLORESTA
2018-01-18,departamento,-34.633396000000005,-58.473988,71000.0,34.0,32.0,1.0,FLORESTA
2018-01-18,departamento,-34.631393,-58.480373,60000.0,,,1.0,FLORESTA
2018-01-18,departamento,-34.630573,-58.478889,67000.0,34.0,30.0,1.0,FLORESTA
2018-01-18,casa,-34.6246951,-58.487445799999996,300000.0,,,6.0,FLORESTA
2018-01-18,ph,-34.63462,-58.479431000000005,267000.0,279.0,129.0,5.0,FLORESTA
2018-01-18,casa,-34.624837,-58.489008999999996,230000.0,150.0,119.0,4.0,FLORESTA
2018-01-19,departamento,-34.6308494,-58.4798784,198000.0,140.0,118.0,5.0,FLORESTA
2018-01-19,departamento,-34.6262044,-58.4892076,68000.0,33.0,30.0,1.0,FLORESTA
2018-01-19,ph,-34.6282465,-58.48441089999999,243000.0,147.0,107.0,3.0,FLORESTA
2018-01-19,departamento,-34.6280898,-58.479019799999996,332000.0,200.0,200.0,6.0,FLORESTA
2018-01-20,departamento,-34.63524279999999,-58.474375699999996,105000.0,49.0,40.0,2.0,FLORESTA
2018-01-24,departamento,-34.6240394108,-58.4865974265,114500.0,42.0,40.0,2.0,FLORESTA
2018-01-24,departamento,-34.6224004,-58.4893757,57000.0,28.0,,1.0,FLORESTA
2018-01-26,departamento,-34.6271906,-58.484668000000006,83000.0,30.0,30.0,2.0,FLORESTA
2018-01-26,departamento,-34.6215609,-58.4904493,67000.0,,37.0,2.0,FLORESTA
2018-01-27,ph,-34.621318,-58.489812,195000.0,91.0,91.0,3.0,FLORESTA
